channel,color,algorithm,profile,receiver,modem_fs,capture_fs,packets,successful_packets,psr,psr_ci95_low,psr_ci95_high,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,median_decode_seconds,p95_decode_seconds,total_decode_seconds,snr_db,seed,status
red1,red,Standard OFDM,standard,3,19200,19200,1,0,0,0,0.793450685623,170,50,0.294117647059,0,0.002976764,0.002976764,0.002976764,0.002976764,0,1,ok
red1,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,0,0.793450685623,170,50,0.294117647059,0,0.003031406,0.003031406,0.003031406,0.003031406,0,1,ok
red1,red,JUNA-Lite,lite,3,19200,19200,1,0,0,0,0.793450685623,170,48,0.282352941176,0,0.011853255,0.011853255,0.011853255,0.011853255,0,1,ok
red1,red,JUNA-Wz,full,3,19200,19200,1,0,0,0,0.793450685623,170,54,0.317647058824,0,0.065610646,0.065610646,0.065610646,0.065610646,0,1,ok
red1,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,0,0.793450685623,170,53,0.311764705882,0,0.012505631,0.012505631,0.012505631,0.012505631,0,1,ok
red1,red,Standard OFDM,standard,3,19200,19200,1,0,0,0,0.793450685623,170,20,0.117647058824,0,0.003010594,0.003010594,0.003010594,0.003010594,30,1,ok
red1,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,0,0.793450685623,170,25,0.147058823529,0,0.002992918,0.002992918,0.002992918,0.002992918,30,1,ok
red1,red,JUNA-Lite,lite,3,19200,19200,1,0,0,0,0.793450685623,170,25,0.147058823529,0,0.011448446,0.011448446,0.011448446,0.011448446,30,1,ok
red1,red,JUNA-Wz,full,3,19200,19200,1,0,0,0,0.793450685623,170,29,0.170588235294,0,0.066913279,0.066913279,0.066913279,0.066913279,30,1,ok
red1,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,0,0.793450685623,170,28,0.164705882353,0,0.012647289,0.012647289,0.012647289,0.012647289,30,1,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,0,0.793450685623,170,41,0.241176470588,0,0.002930848,0.002930848,0.002930848,0.002930848,0,1,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,0,0.793450685623,170,49,0.288235294118,0,0.00295392,0.00295392,0.00295392,0.00295392,0,1,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,0,0.793450685623,170,49,0.288235294118,0,0.008818969,0.008818969,0.008818969,0.008818969,0,1,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,0,0.793450685623,170,56,0.329411764706,0,0.066254112,0.066254112,0.066254112,0.066254112,0,1,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,0,0.793450685623,170,56,0.329411764706,0,0.012107727,0.012107727,0.012107727,0.012107727,0,1,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,0,0.793450685623,170,16,0.0941176470588,0,0.003172024,0.003172024,0.003172024,0.003172024,30,1,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,0,0.793450685623,170,29,0.170588235294,0,0.003066323,0.003066323,0.003066323,0.003066323,30,1,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,0,0.793450685623,170,21,0.123529411765,0,0.01116204,0.01116204,0.01116204,0.01116204,30,1,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,0,0.793450685623,170,36,0.211764705882,0,0.065947421,0.065947421,0.065947421,0.065947421,30,1,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,0,0.793450685623,170,35,0.205882352941,0,0.012111654,0.012111654,0.012111654,0.012111654,30,1,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,0,0.793450685623,170,36,0.211764705882,0,0.002921388,0.002921388,0.002921388,0.002921388,0,1,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,0,0.793450685623,170,59,0.347058823529,0,0.002899824,0.002899824,0.002899824,0.002899824,0,1,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,0,0.793450685623,170,54,0.317647058824,0,0.01153228,0.01153228,0.01153228,0.01153228,0,1,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,0,0.793450685623,170,66,0.388235294118,0,0.065635536,0.065635536,0.065635536,0.065635536,0,1,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,0,0.793450685623,170,67,0.394117647059,0,0.012090466,0.012090466,0.012090466,0.012090466,0,1,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,0,0.793450685623,170,17,0.1,0,0.002930126,0.002930126,0.002930126,0.002930126,30,1,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,0,0.793450685623,170,30,0.176470588235,0,0.002904557,0.002904557,0.002904557,0.002904557,30,1,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,0,0.793450685623,170,30,0.176470588235,0,0.008651479,0.008651479,0.008651479,0.008651479,30,1,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,0,0.793450685623,170,30,0.176470588235,0,0.082328977,0.082328977,0.082328977,0.082328977,30,1,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,0,0.793450685623,170,30,0.176470588235,0,0.020227858,0.020227858,0.020227858,0.020227858,30,1,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,40,0.235294117647,0,0.002957651,0.002957651,0.002957651,0.002957651,0,1,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,40,0.235294117647,0,0.00308184,0.00308184,0.00308184,0.00308184,0,1,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,37,0.217647058824,0,0.011551355,0.011551355,0.011551355,0.011551355,0,1,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,52,0.305882352941,0,0.067125131,0.067125131,0.067125131,0.067125131,0,1,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,51,0.3,0,0.012003023,0.012003023,0.012003023,0.012003023,0,1,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,19,0.111764705882,0,0.002973509,0.002973509,0.002973509,0.002973509,30,1,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,29,0.170588235294,0,0.00313019,0.00313019,0.00313019,0.00313019,30,1,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,23,0.135294117647,0,0.011626665,0.011626665,0.011626665,0.011626665,30,1,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,31,0.182352941176,0,0.066764579,0.066764579,0.066764579,0.066764579,30,1,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,31,0.182352941176,0,0.012166801,0.012166801,0.012166801,0.012166801,30,1,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,94,0.552941176471,0,0.004779372,0.004779372,0.004779372,0.004779372,0,1,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,93,0.547058823529,0,0.003666144,0.003666144,0.003666144,0.003666144,0,1,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,85,0.5,0,0.014313229,0.014313229,0.014313229,0.014313229,0,1,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,88,0.517647058824,0,0.080321233,0.080321233,0.080321233,0.080321233,0,1,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,88,0.517647058824,0,0.030328621,0.030328621,0.030328621,0.030328621,0,1,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,91,0.535294117647,0,0.002991031,0.002991031,0.002991031,0.002991031,30,1,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,89,0.523529411765,0,0.002911729,0.002911729,0.002911729,0.002911729,30,1,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,89,0.523529411765,0,0.008423089,0.008423089,0.008423089,0.008423089,30,1,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,86,0.505882352941,0,0.06720805,0.06720805,0.06720805,0.06720805,30,1,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,85,0.5,0,0.013166538,0.013166538,0.013166538,0.013166538,30,1,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,72,0.423529411765,0,0.002939626,0.002939626,0.002939626,0.002939626,0,1,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,57,0.335294117647,0,0.003024949,0.003024949,0.003024949,0.003024949,0,1,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,70,0.411764705882,0,0.011293197,0.011293197,0.011293197,0.011293197,0,1,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,68,0.4,0,0.069041867,0.069041867,0.069041867,0.069041867,0,1,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,66,0.388235294118,0,0.012023084,0.012023084,0.012023084,0.012023084,0,1,ok
blue3,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,90,0.529411764706,0,0.002959286,0.002959286,0.002959286,0.002959286,30,1,ok
blue3,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,55,0.323529411765,0,0.002937708,0.002937708,0.002937708,0.002937708,30,1,ok
blue3,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,55,0.323529411765,0,0.008571983,0.008571983,0.008571983,0.008571983,30,1,ok
blue3,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,56,0.329411764706,0,0.088167517,0.088167517,0.088167517,0.088167517,30,1,ok
blue3,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,0,0.793450685623,170,58,0.341176470588,0,0.01228627,0.01228627,0.01228627,0.01228627,30,1,ok
yellow1,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,44,0.258823529412,0,0.002964491,0.002964491,0.002964491,0.002964491,0,1,ok
yellow1,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,56,0.329411764706,0,0.002936725,0.002936725,0.002936725,0.002936725,0,1,ok
yellow1,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,57,0.335294117647,0,0.011293743,0.011293743,0.011293743,0.011293743,0,1,ok
yellow1,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,63,0.370588235294,0,0.071807195,0.071807195,0.071807195,0.071807195,0,1,ok
yellow1,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,62,0.364705882353,0,0.012016861,0.012016861,0.012016861,0.012016861,0,1,ok
yellow1,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,29,0.170588235294,0,0.003300478,0.003300478,0.003300478,0.003300478,30,1,ok
yellow1,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,34,0.2,0,0.00313602,0.00313602,0.00313602,0.00313602,30,1,ok
yellow1,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,33,0.194117647059,0,0.011399757,0.011399757,0.011399757,0.011399757,30,1,ok
yellow1,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,32,0.188235294118,0,0.065441136,0.065441136,0.065441136,0.065441136,30,1,ok
yellow1,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,32,0.188235294118,0,0.012611325,0.012611325,0.012611325,0.012611325,30,1,ok
yellow2,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,51,0.3,0,0.002979666,0.002979666,0.002979666,0.002979666,0,1,ok
yellow2,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.003007504,0.003007504,0.003007504,0.003007504,0,1,ok
yellow2,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.008529649,0.008529649,0.008529649,0.008529649,0,1,ok
yellow2,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.065622002,0.065622002,0.065622002,0.065622002,0,1,ok
yellow2,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.012095529,0.012095529,0.012095529,0.012095529,0,1,ok
yellow2,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,38,0.223529411765,0,0.002958313,0.002958313,0.002958313,0.002958313,30,1,ok
yellow2,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,43,0.252941176471,0,0.002945074,0.002945074,0.002945074,0.002945074,30,1,ok
yellow2,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,43,0.252941176471,0,0.008581368,0.008581368,0.008581368,0.008581368,30,1,ok
yellow2,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,51,0.3,0,0.066046582,0.066046582,0.066046582,0.066046582,30,1,ok
yellow2,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,50,0.294117647059,0,0.012140476,0.012140476,0.012140476,0.012140476,30,1,ok
yellow3,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.002901611,0.002901611,0.002901611,0.002901611,0,1,ok
yellow3,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,86,0.505882352941,0,0.002886762,0.002886762,0.002886762,0.002886762,0,1,ok
yellow3,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,86,0.505882352941,0,0.008350443,0.008350443,0.008350443,0.008350443,0,1,ok
yellow3,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,83,0.488235294118,0,0.081774741,0.081774741,0.081774741,0.081774741,0,1,ok
yellow3,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,83,0.488235294118,0,0.020536887,0.020536887,0.020536887,0.020536887,0,1,ok
yellow3,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,43,0.252941176471,0,0.002922357,0.002922357,0.002922357,0.002922357,30,1,ok
yellow3,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,70,0.411764705882,0,0.002917878,0.002917878,0.002917878,0.002917878,30,1,ok
yellow3,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,73,0.429411764706,0,0.011361516,0.011361516,0.011361516,0.011361516,30,1,ok
yellow3,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,71,0.417647058824,0,0.07331085,0.07331085,0.07331085,0.07331085,30,1,ok
yellow3,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,71,0.417647058824,0,0.012036508,0.012036508,0.012036508,0.012036508,30,1,ok
yellow4,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,46,0.270588235294,0,0.003968645,0.003968645,0.003968645,0.003968645,0,1,ok
yellow4,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,55,0.323529411765,0,0.003805718,0.003805718,0.003805718,0.003805718,0,1,ok
yellow4,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,50,0.294117647059,0,0.011602021,0.011602021,0.011602021,0.011602021,0,1,ok
yellow4,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,58,0.341176470588,0,0.067705687,0.067705687,0.067705687,0.067705687,0,1,ok
yellow4,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,59,0.347058823529,0,0.012241161,0.012241161,0.012241161,0.012241161,0,1,ok
yellow4,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,17,0.1,0,0.003047605,0.003047605,0.003047605,0.003047605,30,1,ok
yellow4,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,27,0.158823529412,0,0.003013323,0.003013323,0.003013323,0.003013323,30,1,ok
yellow4,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,28,0.164705882353,0,0.011636534,0.011636534,0.011636534,0.011636534,30,1,ok
yellow4,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,32,0.188235294118,0,0.066418092,0.066418092,0.066418092,0.066418092,30,1,ok
yellow4,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,32,0.188235294118,0,0.012385496,0.012385496,0.012385496,0.012385496,30,1,ok
yellow5,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,60,0.352941176471,0,0.002908124,0.002908124,0.002908124,0.002908124,0,1,ok
yellow5,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,72,0.423529411765,0,0.00295287,0.00295287,0.00295287,0.00295287,0,1,ok
yellow5,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,77,0.452941176471,0,0.011298122,0.011298122,0.011298122,0.011298122,0,1,ok
yellow5,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,68,0.4,0,0.065398493,0.065398493,0.065398493,0.065398493,0,1,ok
yellow5,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,66,0.388235294118,0,0.012184939,0.012184939,0.012184939,0.012184939,0,1,ok
yellow5,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,54,0.317647058824,0,0.002931782,0.002931782,0.002931782,0.002931782,30,1,ok
yellow5,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,55,0.323529411765,0,0.002969124,0.002969124,0.002969124,0.002969124,30,1,ok
yellow5,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,81,0.476470588235,0,0.011675382,0.011675382,0.011675382,0.011675382,30,1,ok
yellow5,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,57,0.335294117647,0,0.06688387,0.06688387,0.06688387,0.06688387,30,1,ok
yellow5,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,56,0.329411764706,0,0.012083204,0.012083204,0.012083204,0.012083204,30,1,ok
yellow6,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,47,0.276470588235,0,0.002931767,0.002931767,0.002931767,0.002931767,0,1,ok
yellow6,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.002913106,0.002913106,0.002913106,0.002913106,0,1,ok
yellow6,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,69,0.405882352941,0,0.008474466,0.008474466,0.008474466,0.008474466,0,1,ok
yellow6,yellow,JUNA-Wz,full,3,12500,12500,1,0,0,0,0.793450685623,170,68,0.4,0,0.065956884,0.065956884,0.065956884,0.065956884,0,1,ok
yellow6,yellow,JUNA-WCz,coupled,3,12500,12500,1,0,0,0,0.793450685623,170,67,0.394117647059,0,0.011990317,0.011990317,0.011990317,0.011990317,0,1,ok
yellow6,yellow,Standard OFDM,standard,3,12500,12500,1,0,0,0,0.793450685623,170,26,0.152941176471,0,0.002926426,0.002926426,0.002926426,0.002926426,30,1,ok
yellow6,yellow,Partial FFT+FEC,pfft,3,12500,12500,1,0,0,0,0.793450685623,170,57,0.335294117647,0,0.002987694,0.002987694,0.002987694,0.002987694,30,1,ok
yellow6,yellow,JUNA-Lite,lite,3,12500,12500,1,0,0,0,0.793450685623,170,57,0.335294117647,0,0.008535918,0.008535918,0.008535918,0.008535918,30,1,ok
