channel,label,algorithm,receiver,nfft,cp,outer_spacing,inner_spacing,fec_rate,check_degree,modem_fs,capture_fs,snr_db,seed,frames,decoded_packets,accepted_packets,psr,psr_ci95_low,psr_ci95_high,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,total_decode_seconds,effective_rate_bps,target_decoded_packets,target_accepted_packets,target_psr,target_ber,target_rate_bps,psr_delta,ber_delta,status
red1,SG-1,JUNA Frame-wide LDPC,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,360,350,0.972222222222,0.949629928809,0.984843017463,264708,792,0.00299197606419,0,0.664931598139,23.937537533,5384.93461203,360,360,1,0,5540,-0.0277777777778,0.00299197606419,ok
red2,SG-2,JUNA Frame-wide LDPC,3,1024,64,5,10,0.5,10,9600,19200,20,51001,35,350,100,0.285714285714,0.240913049857,0.335168281878,257355,25744,0.100033028307,0,0.836200210029,29.267007351,1538.55274629,350,200,0.571,0.06162,3078,-0.285285714286,0.0384130283072,ok
red3,SG-3,JUNA Frame-wide LDPC,3,1024,64,5,10,0.5,10,9600,19200,20,51001,15,149,70,0.469798657718,0.391430893398,0.549684560031,109559,9578,0.0874232148888,0,0.836177948067,12.542669221,1076.98692241,149,85,0.57,0.03585,1308,-0.100201342282,0.0515732148888,ok
blue1,NA-1,JUNA Frame-wide LDPC,3,1024,0,5,5,0.5,8,4882.8125,9765.625,20,51001,22,220,90,0.409090909091,0.346222929102,0.475079164752,143792,14150,0.0984060309336,0,0.653241106091,14.371304334,1125.05508226,220,220,1,0,2751,-0.590909090909,0.0984060309336,ok
blue2,NA-2,JUNA Frame-wide LDPC,3,512,0,5,10,0.5,6,4882.8125,9765.625,20,51001,17,166,33,0.198795180723,0.14520172585,0.266013882551,60955,8577,0.140710360102,0,0.211894360176,3.602204123,231.758592832,166,113,0.681,0.01159,793,-0.482204819277,0.129120360102,ok
blue3,NA-3,JUNA Frame-wide LDPC,3,512,32,5,10,0.5,10,4882.8125,9765.625,20,51001,17,163,43,0.263803680982,0.202150920775,0.336333095463,59853,14178,0.236880356874,0,0.247128499235,4.201184487,301.988469448,163,61,0.374,0.08388,428,-0.110196319018,0.153000356874,ok
yellow1,HW-1,JUNA Frame-wide LDPC,3,2048,64,4,4,0.25,8,6250,12500,20,51001,14,140,104,0.742857142857,0.664653189157,0.80808951352,80528,32,0.000397377309756,0,3.045455332,42.636374648,1162.56218905,140,140,1,0,1565,-0.257142857143,0.000397377309756,ok
yellow2,HW-2,JUNA Frame-wide LDPC,3,1024,16,7,10,0.5,8,6250,12500,20,51001,27,270,0,0,0,0.0140280395716,212868,44062,0.206992126576,0,0.856355384519,23.121595382,0,270,260,0.963,0.008475,3985,-0.963,0.198517126576,ok
yellow3,HW-3,JUNA Frame-wide LDPC,3,512,32,7,10,0.5,8,6250,12500,20,51001,46,460,0,0,0,0.00828183584637,180918,69504,0.3841740457,0,0.270970652087,12.464649996,0,460,430,0.935,0.01466,3303,-0.935,0.3695140457,ok
yellow4,HW-4,JUNA Frame-wide LDPC,3,2048,64,4,4,0.25,8,6250,12500,20,51001,14,140,101,0.721428571429,0.642016086888,0.789014024377,80528,48,0.000596065964633,0,3.1883840925,44.637377295,1115.15663391,140,140,1,0,1546,-0.278571428571,0.000596065964633,ok
yellow5,HW-5,JUNA Frame-wide LDPC,3,512,0,5,7,0.5,10,6250,12500,20,51001,49,490,0,0,0,0.00777872888572,171353,69717,0.406861858269,0,0.273433430571,13.398238098,0,490,330,0.673,0.09853,2254,-0.673,0.308331858269,ok
yellow6,HW-6,JUNA Frame-wide LDPC,3,512,16,7,7,0.5,8,6250,12500,20,51001,48,480,0,0,0,0.00793949908728,179760,56599,0.31485870049,0,0.267881835896,12.858328123,0,480,280,0.583,0.09667,2024,-0.583,0.21818870049,ok
