channel,label,algorithm,receiver,nfft,cp,outer_spacing,inner_spacing,fec_rate,check_degree,modem_fs,capture_fs,snr_db,seed,frames,decoded_packets,accepted_packets,psr,psr_ci95_low,psr_ci95_high,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,total_decode_seconds,effective_rate_bps,target_decoded_packets,target_accepted_packets,target_psr,target_ber,target_rate_bps,psr_delta,ber_delta,status
red1,SG-1,JUNA Frame-wide LDPC,3,1024,16,5,10,0.5,10,9600,19200,20,51001,1,10,10,1,0.722467200137,1,7353,0,0,0,0.610624262,0.610624262,153.855274629,360,360,1,0,5540,0,0,ok
red2,SG-2,JUNA Frame-wide LDPC,3,1024,64,5,10,0.5,10,9600,19200,20,51001,1,10,0,0,0,0.277532799863,7353,1010,0.137358901129,0,1.285479027,1.285479027,0,350,200,0.571,0.06162,3078,-0.571,0.0757389011288,ok
red3,SG-3,JUNA Frame-wide LDPC,3,1024,64,5,10,0.5,10,9600,19200,20,51001,1,10,10,1,0.722467200137,1,7353,0,0,0,0.713445174,0.713445174,153.855274629,149,85,0.57,0.03585,1308,0.43,-0.03585,ok
blue1,NA-1,JUNA Frame-wide LDPC,3,1024,0,5,5,0.5,8,4882.8125,9765.625,20,51001,1,10,0,0,0,0.277532799863,6536,635,0.0971542227662,0,0.726022891,0.726022891,0,220,220,1,0,2751,-1,0.0971542227662,ok
blue2,NA-2,JUNA Frame-wide LDPC,3,512,0,5,10,0.5,6,4882.8125,9765.625,20,51001,1,10,0,0,0,0.277532799863,3672,711,0.19362745098,0,0.211963229,0.211963229,0,166,113,0.681,0.01159,793,-0.681,0.18203745098,ok
blue3,NA-3,JUNA Frame-wide LDPC,3,512,32,5,10,0.5,10,4882.8125,9765.625,20,51001,1,10,0,0,0,0.277532799863,3672,786,0.214052287582,0,0.238430411,0.238430411,0,163,61,0.374,0.08388,428,-0.374,0.130172287582,ok
yellow1,HW-1,JUNA Frame-wide LDPC,3,2048,64,4,4,0.25,8,6250,12500,20,51001,1,10,10,1,0.722467200137,1,5752,0,0,0,3.938561865,3.938561865,111.784825871,140,140,1,0,1565,0,0,ok
yellow2,HW-2,JUNA Frame-wide LDPC,3,1024,16,7,10,0.5,8,6250,12500,20,51001,1,10,0,0,0,0.277532799863,7884,1628,0.206494165398,0,0.823437324,0.823437324,0,270,260,0.963,0.008475,3985,-0.963,0.198019165398,ok
yellow3,HW-3,JUNA Frame-wide LDPC,3,512,32,7,10,0.5,8,6250,12500,20,51001,1,10,0,0,0,0.277532799863,3933,1450,0.368675311467,0,0.252617112,0.252617112,0,460,430,0.935,0.01466,3303,-0.935,0.354015311467,ok
yellow4,HW-4,JUNA Frame-wide LDPC,3,2048,64,4,4,0.25,8,6250,12500,20,51001,1,10,10,1,0.722467200137,1,5752,0,0,0,2.930411093,2.930411093,110.411547912,140,140,1,0,1546,0,0,ok
yellow5,HW-5,JUNA Frame-wide LDPC,3,512,0,5,7,0.5,10,6250,12500,20,51001,1,10,0,0,0,0.277532799863,3497,1542,0.440949385187,0,0.256585176,0.256585176,0,490,330,0.673,0.09853,2254,-0.673,0.342419385187,ok
yellow6,HW-6,JUNA Frame-wide LDPC,3,512,16,7,7,0.5,8,6250,12500,20,51001,1,10,0,0,0,0.277532799863,3745,1335,0.356475300401,0,0.264086168,0.264086168,0,480,280,0.583,0.09667,2024,-0.583,0.259805300401,ok
