channel,label,algorithm,receiver,nfft,cp,outer_spacing,inner_spacing,fec_rate,check_degree,modem_fs,capture_fs,snr_db,seed,frames,decoded_packets,accepted_packets,psr,psr_ci95_low,psr_ci95_high,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,total_decode_seconds,effective_rate_bps,target_decoded_packets,target_accepted_packets,target_psr,target_ber,target_rate_bps,psr_delta,ber_delta,status
red1,SG-1,JUNA Frame-wide LDPC,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,360,360,1,0.989441943111,1,264708,0,0,0,0.664753647583,23.931131313,5538.78988666,360,360,1,0,5540,0,0,ok
red2,SG-2,JUNA Frame-wide LDPC,3,1024,64,5,10,0.5,10,9600,19200,20,51001,35,350,193,0.551428571429,0.49904642583,0.602694054553,257355,18027,0.0700472110509,0,0.731785385086,25.612488478,2969.40680035,350,200,0.571,0.06162,3078,-0.0195714285714,0.00842721105088,ok
red3,SG-3,JUNA Frame-wide LDPC,3,1024,64,5,10,0.5,10,9600,19200,20,51001,15,149,103,0.691275167785,0.613071732256,0.759863729364,109559,4191,0.0382533612026,0,0.830425334533,12.456380018,1584.70932868,149,85,0.57,0.03585,1308,0.121275167785,0.00240336120264,ok
blue1,NA-1,JUNA Frame-wide LDPC,3,1024,0,5,5,0.5,8,4882.8125,9765.625,20,51001,22,220,140,0.636363636364,0.5709620586,0.69708480062,143792,5667,0.0394110938022,0,0.645993604227,14.211859293,1750.08568351,220,220,1,0,2751,-0.363636363636,0.0394110938022,ok
blue2,NA-2,JUNA Frame-wide LDPC,3,512,0,5,10,0.5,6,4882.8125,9765.625,20,51001,17,166,13,0.078313253012,0.0463354535317,0.12936639823,60955,10107,0.165810844065,0,0.187788729706,3.192408405,91.2988396005,166,113,0.681,0.01159,793,-0.602686746988,0.154220844065,ok
blue3,NA-3,JUNA Frame-wide LDPC,3,512,32,5,10,0.5,10,4882.8125,9765.625,20,51001,17,163,0,0,0,0.0230246058015,59853,18008,0.300870465975,0,0.191648451176,3.25802367,0,163,61,0.374,0.08388,428,-0.374,0.216990465975,ok
yellow1,HW-1,JUNA Frame-wide LDPC,3,2048,64,4,4,0.25,8,6250,12500,20,51001,14,140,95,0.678571428571,0.597332258674,0.750272669766,80528,121,0.00150258295251,0,3.03398417707,42.475778479,1061.95584577,140,140,1,0,1565,-0.321428571429,0.00150258295251,ok
yellow2,HW-2,JUNA Frame-wide LDPC,3,1024,16,7,10,0.5,8,6250,12500,20,51001,27,270,0,0,0,0.0140280395716,212868,45155,0.212126764004,0,0.77095680537,20.815833745,0,270,260,0.963,0.008475,3985,-0.963,0.203651764004,ok
yellow3,HW-3,JUNA Frame-wide LDPC,3,512,32,7,10,0.5,8,6250,12500,20,51001,46,460,0,0,0,0.00828183584637,180918,68468,0.378447694536,0,0.249244445304,11.465244484,0,460,430,0.935,0.01466,3303,-0.935,0.363787694536,ok
yellow4,HW-4,JUNA Frame-wide LDPC,3,2048,64,4,4,0.25,8,6250,12500,20,51001,14,140,130,0.928571428571,0.873510212629,0.960741615626,80528,21,0.000260778859527,0,3.05903370379,42.826471853,1435.35012285,140,140,1,0,1546,-0.0714285714286,0.000260778859527,ok
yellow5,HW-5,JUNA Frame-wide LDPC,3,512,0,5,7,0.5,10,6250,12500,20,51001,49,490,0,0,0,0.00777872888572,171353,69058,0.403015996218,0,0.231563496755,11.346611341,0,490,330,0.673,0.09853,2254,-0.673,0.304485996218,ok
yellow6,HW-6,JUNA Frame-wide LDPC,3,512,16,7,7,0.5,8,6250,12500,20,51001,48,480,0,0,0,0.00793949908728,179760,54513,0.303254339119,0,0.244925898833,11.756443144,0,480,280,0.583,0.09667,2024,-0.583,0.206584339119,ok
