snr_db,algorithm,mean_ber,mean_decode_ms,zero_ber_channels,channels
0,Standard OFDM,0.322549019608,3.184185,0,12
0,Partial FFT+FEC,0.369607843137,3.410041,0,12
0,JUNA-Lite,0.364705882353,11.053701,0,12
0,JUNA-Wz,0.375490196078,73.110755,0,12
0,JUNA-WCz,0.377941176471,14.205073,0,12
5,Standard OFDM,0.275,3.689512,0,12
5,Partial FFT+FEC,0.326960784314,3.863646,0,12
5,JUNA-Lite,0.319607843137,11.101942,0,12
5,JUNA-Wz,0.361764705882,76.960673,0,12
5,JUNA-WCz,0.363725490196,13.880631,0,12
10,Standard OFDM,0.249509803922,3.830235,0,12
10,Partial FFT+FEC,0.299019607843,3.760781,0,12
10,JUNA-Lite,0.280392156863,12.258765,0,12
10,JUNA-Wz,0.314215686275,75.711774,0,12
10,JUNA-WCz,0.312745098039,13.621565,0,12
15,Standard OFDM,0.228921568627,3.418667,0,12
15,Partial FFT+FEC,0.261764705882,3.350436,0,12
15,JUNA-Lite,0.245098039216,12.330513,0,12
15,JUNA-Wz,0.287254901961,74.857081,0,12
15,JUNA-WCz,0.286764705883,13.953297,0,12
20,Standard OFDM,0.222058823529,3.311125,0,12
20,Partial FFT+FEC,0.255392156863,3.464777,0,12
20,JUNA-Lite,0.221568627451,12.443432,0,12
20,JUNA-Wz,0.272058823529,76.852749,0,12
20,JUNA-WCz,0.271078431373,15.808501,0,12
25,Standard OFDM,0.213725490196,3.458604,0,12
25,Partial FFT+FEC,0.248039215686,3.364043,0,12
25,JUNA-Lite,0.236274509804,11.170611,0,12
25,JUNA-Wz,0.275490196078,76.898785,0,12
25,JUNA-WCz,0.274019607843,14.644161,0,12
30,Standard OFDM,0.213725490196,3.202357,0,12
30,Partial FFT+FEC,0.247549019608,3.302332,0,12
30,JUNA-Lite,0.226960784314,11.107191,0,12
30,JUNA-Wz,0.267156862745,73.769871,0,12
30,JUNA-WCz,0.265196078431,14.184175,0,12
