channel,color,modem_fs,algorithm,ber_0dB,decode_ms_0dB,ber_5dB,decode_ms_5dB,ber_10dB,decode_ms_10dB,ber_15dB,decode_ms_15dB,ber_20dB,decode_ms_20dB,ber_25dB,decode_ms_25dB,ber_30dB,decode_ms_30dB
red1,red,19200,Standard OFDM,0.211764705882,3.680284,0.147058823529,4.763212,0.135294117647,3.160833,0.123529411765,3.002985,0.105882352941,3.735802,0.129411764706,2.962893,0.123529411765,3.120446
red1,red,19200,Partial FFT+FEC,0.3,3.110790,0.264705882353,4.880694,0.2,3.175605,0.170588235294,3.527511,0.188235294118,3.416692,0.158823529412,3.640278,0.152941176471,3.545809
red1,red,19200,JUNA-Lite,0.3,8.967236,0.235294117647,17.562455,0.152941176471,12.653493,0.135294117647,11.875746,0.111764705882,12.706242,0.158823529412,8.656812,0.117647058824,13.944435
red1,red,19200,JUNA-Wz,0.276470588235,71.023851,0.311764705882,88.078087,0.188235294118,75.188906,0.205882352941,73.905627,0.170588235294,73.777896,0.223529411765,71.290987,0.188235294118,70.076352
red1,red,19200,JUNA-WCz,0.276470588235,12.964245,0.311764705882,13.399244,0.188235294118,12.805206,0.217647058824,14.303239,0.170588235294,13.578072,0.223529411765,14.268899,0.182352941176,14.094622
red2,red,19200,Standard OFDM,0.288235294118,3.339120,0.247058823529,2.989477,0.194117647059,5.032422,0.147058823529,3.366742,0.0941176470588,3.035437,0.105882352941,3.341349,0.123529411765,3.169279
red2,red,19200,Partial FFT+FEC,0.282352941176,5.158135,0.264705882353,3.319412,0.264705882353,5.319940,0.170588235294,3.054767,0.164705882353,3.046272,0.158823529412,3.185817,0.141176470588,3.488616
red2,red,19200,JUNA-Lite,0.311764705882,13.397437,0.264705882353,8.774140,0.217647058824,16.222069,0.170588235294,8.910315,0.170588235294,12.968951,0.158823529412,9.575321,0.141176470588,8.984569
red2,red,19200,JUNA-Wz,0.335294117647,76.104168,0.288235294118,77.462577,0.247058823529,79.174970,0.223529411765,69.829152,0.182352941176,84.440414,0.176470588235,73.061167,0.2,72.953264
red2,red,19200,JUNA-WCz,0.335294117647,13.184946,0.288235294118,13.185458,0.252941176471,12.655797,0.223529411765,13.172692,0.188235294118,20.979919,0.182352941176,12.954181,0.205882352941,12.607025
red3,red,19200,Standard OFDM,0.211764705882,3.114090,0.147058823529,3.984422,0.111764705882,3.052194,0.105882352941,3.038068,0.105882352941,3.921638,0.0588235294118,3.402360,0.0470588235294,3.011549
red3,red,19200,Partial FFT+FEC,0.311764705882,3.219609,0.276470588235,3.802113,0.241176470588,3.151833,0.217647058824,2.961352,0.241176470588,4.285104,0.229411764706,3.060808,0.223529411765,3.152888
red3,red,19200,JUNA-Lite,0.276470588235,12.292172,0.194117647059,12.778931,0.158823529412,12.844697,0.217647058824,10.487805,0.141176470588,17.515668,0.182352941176,12.549673,0.141176470588,12.163143
