juna_core_commit,channel,snr_db,pilot_ratio,outer_pilot_spacing,inner_pilot_spacing,code_rate,nfft,cp,frame_blocks,modem_fs,capture_fs,algorithm,frames,successful_frames,psr,payload_bits,bit_errors,ber,mean_decode_seconds_per_frame,capture_duration_seconds,covered_duration_seconds,effective_data_rate_bps,seed,status
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,512,16,10,19200,19200,Standard OFDM,173,0,0,83213,24164,0.290387319289,0.00787987019653,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,512,16,10,19200,19200,Partial FFT+FEC,173,0,0,83213,38409,0.461574513598,0.00825968824277,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,512,16,10,19200,19200,JUNA-Lite,173,0,0,83213,27674,0.332568228522,0.0209274366879,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,512,16,10,19200,19200,JUNA-Wz,173,0,0,83213,38447,0.462031173014,0.160482452468,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,512,16,10,19200,19200,JUNA-WCz,173,0,0,83213,38263,0.459819980051,0.0862368041387,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,1024,16,10,19200,19200,Standard OFDM,88,0,0,85448,18948,0.221748899916,0.0173783892614,47.7916666667,47.6666666667,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,1024,16,10,19200,19200,Partial FFT+FEC,88,0,0,85448,32482,0.380137627563,0.0176404135341,47.7916666667,47.6666666667,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,1024,16,10,19200,19200,JUNA-Lite,88,0,0,85448,17523,0.205072090628,0.0521722947614,47.7916666667,47.6666666667,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,1024,16,10,19200,19200,JUNA-Wz,88,0,0,85448,32552,0.380956839247,0.377104271841,47.7916666667,47.6666666667,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,1024,16,10,19200,19200,JUNA-WCz,88,0,0,85448,32468,0.379973785226,0.199202373761,47.7916666667,47.6666666667,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,2048,16,10,19200,19200,Standard OFDM,44,0,0,85844,24254,0.282535762546,0.0405268575455,47.7916666667,47.3,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,2048,16,10,19200,19200,Partial FFT+FEC,44,0,0,85844,29372,0.342155537953,0.0404203470682,47.7916666667,47.3,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,2048,16,10,19200,19200,JUNA-Lite,44,0,0,85844,15998,0.186361306556,0.124743733386,47.7916666667,47.3,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,2048,16,10,19200,19200,JUNA-Wz,44,0,0,85844,29424,0.342761287918,0.895202725,47.7916666667,47.3,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.0625,2048,16,10,19200,19200,JUNA-WCz,44,0,0,85844,29355,0.34195750431,0.436153699273,47.7916666667,47.3,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.125,512,16,10,19200,19200,Standard OFDM,173,0,0,166426,31571,0.189699926694,0.0104763839595,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.125,512,16,10,19200,19200,Partial FFT+FEC,173,0,0,166426,72222,0.433958636271,0.0100195218728,47.7916666667,47.575,0,1,ok
f3f7d62fdb75c034854a0aed4556242847afc5e2,red1,20,0.25,8,8,0.125,512,16,10,19200,19200,JUNA-Lite,173,0,0,166426,33896,0.203670099624,0.0274530636705,47.7916666667,47.575,0,1,ok
